# clock	walking	resting	collected_food	energy
1	0	20	0	0
2	0	20	0	0
3	4	16	0	-4
4	6	14	0	-10
5	6	14	0	-16
6	6	14	0	-22
7	7	13	0	-29
8	10	10	0	-39
9	11	9	0	-50
10	15	5	0	-65
11	18	2	0	-83
12	18	2	0	-101
13	18	2	0	-119
14	18	2	0	-137
15	18	2	0	-155
16	18	2	0	-173
17	18	2	0	-191
18	18	2	0	-209
19	18	2	0	-227
20	18	2	0	-245
21	19	1	0	-264
22	19	1	0	-283
23	19	1	0	-302
24	19	1	0	-321
25	19	1	0	-340
26	19	1	0	-359
27	19	1	0	-378
28	19	1	0	-397
29	19	1	0	-416
30	19	1	0	-435
31	19	1	0	-454
32	19	1	0	-473
33	20	0	0	-493
34	20	0	0	-513
35	20	0	0	-533
36	20	0	0	-553
37	20	0	0	-573
38	20	0	0	-593
39	20	0	0	-613
40	20	0	0	-633
41	20	0	0	-653
42	20	0	0	-673
43	20	0	0	-693
44	20	0	0	-713
45	20	0	0	-733
46	20	0	0	-753
47	20	0	0	-773
48	20	0	0	-793
49	20	0	0	-813
50	20	0	0	-833
51	20	0	0	-853
52	20	0	0	-873
53	20	0	0	-893
54	20	0	0	-913
55	20	0	0	-933
56	20	0	0	-953
57	20	0	0	-973
58	20	0	0	-993
59	20	0	0	-1013
60	20	0	0	-1033
61	20	0	0	-1053
62	20	0	0	-1073
63	20	0	0	-1093
64	20	0	0	-1113
65	20	0	0	-1133
66	20	0	0	-1153
67	20	0	0	-1173
68	20	0	0	-1193
69	20	0	0	-1213
70	20	0	0	-1233
71	20	0	0	-1253
72	20	0	0	-1273
73	20	0	0	-1293
74	20	0	0	-1313
75	20	0	0	-1333
76	20	0	0	-1353
77	20	0	0	-1373
78	20	0	0	-1393
79	20	0	0	-1413
80	20	0	0	-1433
81	20	0	0	-1453
82	20	0	0	-1473
83	20	0	0	-1493
84	20	0	0	-1513
85	20	0	0	-1533
86	20	0	0	-1553
87	20	0	0	-1573
88	20	0	0	-1593
89	20	0	0	-1613
90	20	0	0	-1633
91	20	0	0	-1653
92	20	0	0	-1673
93	20	0	0	-1693
94	20	0	0	-1713
95	20	0	0	-1733
96	20	0	0	-1753
97	20	0	0	-1773
98	20	0	0	-1793
99	20	0	0	-1813
100	20	0	0	-1833
101	20	0	0	-1853
102	20	0	0	-1873
103	20	0	0	-1893
104	20	0	0	-1913
105	20	0	0	-1933
106	20	0	0	-1953
107	20	0	0	-1973
108	20	0	0	-1993
109	20	0	0	-2013
110	20	0	0	-2033
111	20	0	0	-2053
112	20	0	0	-2073
113	20	0	0	-2093
114	20	0	0	-2113
115	20	0	0	-2133
116	20	0	0	-2153
117	20	0	0	-2173
118	20	0	0	-2193
119	20	0	0	-2213
120	20	0	0	-2233
121	20	0	0	-2253
122	20	0	0	-2273
123	20	0	0	-2293
124	20	0	0	-2313
125	20	0	0	-2333
126	20	0	0	-2353
127	20	0	0	-2373
128	20	0	0	-2393
129	20	0	0	-2413
130	20	0	0	-2433
131	20	0	0	-2453
132	20	0	0	-2473
133	20	0	0	-2493
134	20	0	0	-2513
135	20	0	0	-2533
136	20	0	0	-2553
137	20	0	0	-2573
138	20	0	0	-2593
139	20	0	0	-2613
140	20	0	0	-2633
141	20	0	0	-2653
142	20	0	0	-2673
143	20	0	0	-2693
144	20	0	0	-2713
145	20	0	0	-2733
146	20	0	0	-2753
147	20	0	0	-2773
148	20	0	0	-2793
149	20	0	0	-2813
150	20	0	0	-2833
151	20	0	0	-2853
152	20	0	0	-2873
153	20	0	0	-2893
154	20	0	0	-2913
155	20	0	0	-2933
156	20	0	0	-2953
157	20	0	0	-2973
158	20	0	0	-2993
159	20	0	0	-3013
160	20	0	0	-3033
161	20	0	0	-3053
162	20	0	0	-3073
163	20	0	0	-3093
164	20	0	0	-3113
165	20	0	0	-3133
166	20	0	0	-3153
167	20	0	0	-3173
168	20	0	0	-3193
169	20	0	0	-3213
170	20	0	0	-3233
171	20	0	0	-3253
172	20	0	0	-3273
173	20	0	0	-3293
174	20	0	0	-3313
175	20	0	0	-3333
176	20	0	0	-3353
177	20	0	0	-3373
178	20	0	0	-3393
179	20	0	0	-3413
180	20	0	0	-3433
181	20	0	0	-3453
182	20	0	0	-3473
183	20	0	0	-3493
184	20	0	0	-3513
185	20	0	0	-3533
186	20	0	0	-3553
187	20	0	0	-3573
188	20	0	0	-3593
189	20	0	0	-3613
190	20	0	0	-3633
191	20	0	0	-3653
192	20	0	0	-3673
193	20	0	0	-3693
194	20	0	0	-3713
195	20	0	0	-3733
196	20	0	0	-3753
197	20	0	0	-3773
198	20	0	1	-2793
199	20	0	1	-2813
200	20	0	1	-2833
201	20	0	1	-2853
202	20	0	1	-2873
203	20	0	1	-2893
204	20	0	2	-1913
205	20	0	2	-1933
206	20	0	3	-953
207	20	0	3	-973
208	20	0	3	-993
209	20	0	3	-1013
210	20	0	3	-1033
211	20	0	3	-1053
212	20	0	3	-1073
213	20	0	3	-1093
214	20	0	3	-1113
215	20	0	3	-1133
216	20	0	3	-1153
217	20	0	3	-1173
218	20	0	3	-1193
219	20	0	3	-1213
220	20	0	3	-1233
221	20	0	3	-1253
222	20	0	3	-1273
223	20	0	3	-1293
224	20	0	3	-1313
225	20	0	3	-1333
226	20	0	3	-1353
227	20	0	3	-1373
228	20	0	3	-1393
229	20	0	3	-1413
230	20	0	3	-1433
231	20	0	3	-1453
232	20	0	3	-1473
233	20	0	3	-1493
234	20	0	3	-1513
235	20	0	3	-1533
236	20	0	3	-1553
237	20	0	3	-1573
238	20	0	3	-1593
239	20	0	3	-1613
240	20	0	3	-1633
241	20	0	3	-1653
242	20	0	3	-1673
243	20	0	3	-1693
244	20	0	3	-1713
245	20	0	3	-1733
246	20	0	3	-1753
247	20	0	3	-1773
248	20	0	3	-1793
249	20	0	3	-1813
250	20	0	3	-1833
251	20	0	3	-1853
252	20	0	3	-1873
253	20	0	3	-1893
254	20	0	3	-1913
255	20	0	3	-1933
256	19	1	3	-1952
257	19	1	3	-1971
258	19	1	3	-1990
259	19	1	4	-1009
260	19	1	4	-1028
261	19	1	4	-1047
262	19	1	4	-1066
263	18	2	4	-1084
264	17	3	4	-1101
265	17	3	4	-1118
266	17	3	4	-1135
267	17	3	4	-1152
268	17	3	4	-1169
269	17	3	4	-1186
270	17	3	4	-1203
271	17	3	4	-1220
272	17	3	4	-1237
273	17	3	4	-1254
274	17	3	4	-1271
275	17	3	4	-1288
276	17	3	4	-1305
277	17	3	4	-1322
278	17	3	4	-1339
279	17	3	4	-1356
280	17	3	4	-1373
281	17	3	4	-1390
282	17	3	4	-1407
283	17	3	4	-1424
284	17	3	4	-1441
285	17	3	4	-1458
286	17	3	4	-1475
287	17	3	4	-1492
288	17	3	4	-1509
289	17	3	4	-1526
290	17	3	4	-1543
291	17	3	4	-1560
292	17	3	4	-1577
293	17	3	4	-1594
294	17	3	4	-1611
295	17	3	4	-1628
296	17	3	4	-1645
297	17	3	4	-1662
298	17	3	4	-1679
299	17	3	4	-1696
300	17	3	4	-1713
301	17	3	4	-1730
302	17	3	4	-1747
303	17	3	4	-1764
304	17	3	4	-1781
305	17	3	4	-1798
306	17	3	4	-1815
307	17	3	4	-1832
308	17	3	4	-1849
309	17	3	4	-1866
310	17	3	4	-1883
311	17	3	4	-1900
312	17	3	4	-1917
313	17	3	4	-1934
314	17	3	4	-1951
315	17	3	4	-1968
316	17	3	4	-1985
317	17	3	4	-2002
318	16	4	4	-2018
319	16	4	4	-2034
320	16	4	4	-2050
321	16	4	4	-2066
322	16	4	4	-2082
323	17	3	4	-2099
324	17	3	4	-2116
325	17	3	4	-2133
326	17	3	4	-2150
327	17	3	4	-2167
328	17	3	4	-2184
329	17	3	4	-2201
330	17	3	4	-2218
331	17	3	4	-2235
332	17	3	4	-2252
333	17	3	4	-2269
334	17	3	4	-2286
335	17	3	4	-2303
336	17	3	4	-2320
337	17	3	4	-2337
338	17	3	4	-2354
339	17	3	4	-2371
340	17	3	4	-2388
341	17	3	4	-2405
342	17	3	4	-2422
343	17	3	4	-2439
344	17	3	4	-2456
345	17	3	4	-2473
346	17	3	4	-2490
347	17	3	4	-2507
348	17	3	4	-2524
349	17	3	4	-2541
350	17	3	4	-2558
351	17	3	4	-2575
352	17	3	4	-2592
353	17	3	4	-2609
354	17	3	4	-2626
355	17	3	4	-2643
356	17	3	4	-2660
357	17	3	4	-2677
358	17	3	4	-2694
359	17	3	4	-2711
360	17	3	4	-2728
361	17	3	4	-2745
362	18	2	4	-2763
363	18	2	4	-2781
364	18	2	4	-2799
365	18	2	4	-2817
366	18	2	4	-2835
367	18	2	4	-2853
368	18	2	4	-2871
369	19	1	4	-2890
370	19	1	4	-2909
371	19	1	4	-2928
372	19	1	4	-2947
373	19	1	5	-1966
374	19	1	5	-1985
375	19	1	5	-2004
376	19	1	5	-2023
377	19	1	5	-2042
378	19	1	5	-2061
379	19	1	5	-2080
380	19	1	5	-2099
381	19	1	5	-2118
382	19	1	5	-2137
383	19	1	5	-2156
384	19	1	5	-2175
385	19	1	5	-2194
386	19	1	5	-2213
387	19	1	5	-2232
388	19	1	5	-2251
389	19	1	5	-2270
390	19	1	5	-2289
391	19	1	5	-2308
392	19	1	5	-2327
393	19	1	5	-2346
394	19	1	5	-2365
395	19	1	5	-2384
396	19	1	5	-2403
397	19	1	5	-2422
398	19	1	5	-2441
399	19	1	5	-2460
400	19	1	5	-2479
401	19	1	5	-2498
402	19	1	5	-2517
403	19	1	5	-2536
404	19	1	5	-2555
405	19	1	5	-2574
406	19	1	5	-2593
407	19	1	5	-2612
408	19	1	5	-2631
409	19	1	5	-2650
410	19	1	5	-2669
411	19	1	5	-2688
412	19	1	5	-2707
413	19	1	5	-2726
414	19	1	5	-2745
415	19	1	5	-2764
416	20	0	5	-2784
417	20	0	5	-2804
418	20	0	5	-2824
419	20	0	5	-2844
420	20	0	5	-2864
421	20	0	5	-2884
422	20	0	5	-2904
423	20	0	5	-2924
424	20	0	5	-2944
425	20	0	5	-2964
426	20	0	5	-2984
427	20	0	5	-3004
428	20	0	5	-3024
429	20	0	5	-3044
430	20	0	5	-3064
431	20	0	5	-3084
432	19	1	5	-3103
433	19	1	5	-3122
434	19	1	5	-3141
435	19	1	5	-3160
436	19	1	5	-3179
437	19	1	5	-3198
438	19	1	5	-3217
439	19	1	5	-3236
440	19	1	5	-3255
441	19	1	5	-3274
442	19	1	5	-3293
443	19	1	5	-3312
444	19	1	5	-3331
445	19	1	5	-3350
446	19	1	5	-3369
447	19	1	5	-3388
448	19	1	5	-3407
449	19	1	5	-3426
450	19	1	5	-3445
451	19	1	5	-3464
452	19	1	5	-3483
453	19	1	5	-3502
454	19	1	5	-3521
455	19	1	5	-3540
456	19	1	5	-3559
457	19	1	5	-3578
458	19	1	5	-3597
459	19	1	5	-3616
460	19	1	5	-3635
461	19	1	5	-3654
462	19	1	5	-3673
463	19	1	5	-3692
464	19	1	5	-3711
465	19	1	5	-3730
466	19	1	5	-3749
467	19	1	5	-3768
468	19	1	5	-3787
469	19	1	5	-3806
470	19	1	5	-3825
471	19	1	5	-3844
472	19	1	5	-3863
473	19	1	5	-3882
474	19	1	5	-3901
475	19	1	5	-3920
476	19	1	5	-3939
477	19	1	5	-3958
478	19	1	5	-3977
479	19	1	5	-3996
480	19	1	6	-3015
481	19	1	7	-2034
482	19	1	7	-2053
483	19	1	7	-2072
484	19	1	7	-2091
485	19	1	7	-2110
486	19	1	7	-2129
487	19	1	7	-2148
488	19	1	7	-2167
489	19	1	7	-2186
490	19	1	7	-2205
491	19	1	7	-2224
492	19	1	7	-2243
493	19	1	7	-2262
494	19	1	7	-2281
495	19	1	7	-2300
496	19	1	7	-2319
497	20	0	7	-2339
498	20	0	7	-2359
499	20	0	7	-2379
500	20	0	7	-2399
501	20	0	7	-2419
502	20	0	7	-2439
503	20	0	7	-2459
504	20	0	7	-2479
505	20	0	7	-2499
506	20	0	7	-2519
507	20	0	7	-2539
508	20	0	7	-2559
509	20	0	7	-2579
510	20	0	7	-2599
511	20	0	7	-2619
512	20	0	7	-2639
513	20	0	7	-2659
514	20	0	7	-2679
515	20	0	7	-2699
516	20	0	7	-2719
517	20	0	7	-2739
518	20	0	7	-2759
519	20	0	7	-2779
520	20	0	7	-2799
521	20	0	7	-2819
522	20	0	7	-2839
523	20	0	7	-2859
524	20	0	7	-2879
525	20	0	7	-2899
526	20	0	7	-2919
527	20	0	7	-2939
528	20	0	7	-2959
529	20	0	7	-2979
530	20	0	7	-2999
531	20	0	7	-3019
532	20	0	7	-3039
533	20	0	7	-3059
534	20	0	7	-3079
535	20	0	7	-3099
536	20	0	7	-3119
537	19	1	7	-3138
538	19	1	7	-3157
539	18	2	7	-3175
540	18	2	7	-3193
541	18	2	7	-3211
542	18	2	7	-3229
543	18	2	7	-3247
544	18	2	7	-3265
545	18	2	7	-3283
546	18	2	7	-3301
547	18	2	7	-3319
548	18	2	7	-3337
549	18	2	7	-3355
550	18	2	7	-3373
551	18	2	7	-3391
552	18	2	7	-3409
553	18	2	7	-3427
554	18	2	7	-3445
555	18	2	7	-3463
556	18	2	7	-3481
557	18	2	7	-3499
558	18	2	7	-3517
559	18	2	7	-3535
560	18	2	7	-3553
561	18	2	7	-3571
562	18	2	7	-3589
563	18	2	7	-3607
564	18	2	7	-3625
565	18	2	7	-3643
566	18	2	7	-3661
567	18	2	7	-3679
568	18	2	7	-3697
569	18	2	7	-3715
570	18	2	7	-3733
571	18	2	7	-3751
572	18	2	7	-3769
573	18	2	7	-3787
574	18	2	7	-3805
575	18	2	7	-3823
576	18	2	7	-3841
577	18	2	7	-3859
578	18	2	7	-3877
579	18	2	7	-3895
580	18	2	7	-3913
581	18	2	7	-3931
582	18	2	7	-3949
583	18	2	7	-3967
584	18	2	7	-3985
585	18	2	7	-4003
586	18	2	7	-4021
587	18	2	7	-4039
588	18	2	7	-4057
589	18	2	7	-4075
590	18	2	7	-4093
591	18	2	7	-4111
592	18	2	7	-4129
593	19	1	7	-4148
594	19	1	7	-4167
595	19	1	7	-4186
596	19	1	7	-4205
597	19	1	7	-4224
598	19	1	7	-4243
599	19	1	7	-4262
600	19	1	7	-4281
601	19	1	7	-4300
602	19	1	8	-3319
603	19	1	8	-3338
604	19	1	9	-2357
605	19	1	9	-2376
606	19	1	9	-2395
607	19	1	9	-2414
608	19	1	9	-2433
609	19	1	9	-2452
610	19	1	9	-2471
611	19	1	9	-2490
612	19	1	9	-2509
613	20	0	9	-2529
614	20	0	9	-2549
615	20	0	9	-2569
616	20	0	9	-2589
617	20	0	9	-2609
618	20	0	9	-2629
619	20	0	9	-2649
620	20	0	9	-2669
621	20	0	9	-2689
622	20	0	9	-2709
623	20	0	9	-2729
624	20	0	9	-2749
625	20	0	9	-2769
626	20	0	9	-2789
627	20	0	9	-2809
628	20	0	9	-2829
629	20	0	9	-2849
630	20	0	9	-2869
631	20	0	9	-2889
632	20	0	9	-2909
633	20	0	9	-2929
634	20	0	9	-2949
635	20	0	9	-2969
636	20	0	9	-2989
637	20	0	9	-3009
638	20	0	9	-3029
639	20	0	9	-3049
640	20	0	9	-3069
641	20	0	9	-3089
642	20	0	9	-3109
643	20	0	9	-3129
644	20	0	9	-3149
645	20	0	9	-3169
646	20	0	9	-3189
647	20	0	9	-3209
648	20	0	9	-3229
649	20	0	9	-3249
650	20	0	9	-3269
651	20	0	9	-3289
652	20	0	9	-3309
653	20	0	9	-3329
654	20	0	9	-3349
655	20	0	9	-3369
656	20	0	9	-3389
657	20	0	9	-3409
658	20	0	9	-3429
659	20	0	9	-3449
660	18	2	9	-3467
661	18	2	9	-3485
662	18	2	9	-3503
663	18	2	9	-3521
664	16	4	9	-3537
665	16	4	9	-3553
666	16	4	9	-3569
667	16	4	9	-3585
668	16	4	9	-3601
669	16	4	9	-3617
670	16	4	9	-3633
671	16	4	9	-3649
672	16	4	9	-3665
673	16	4	9	-3681
674	16	4	9	-3697
675	16	4	9	-3713
676	16	4	9	-3729
677	16	4	9	-3745
678	16	4	9	-3761
679	16	4	9	-3777
680	16	4	9	-3793
681	16	4	9	-3809
682	16	4	9	-3825
683	16	4	9	-3841
684	16	4	9	-3857
685	16	4	9	-3873
686	16	4	9	-3889
687	16	4	9	-3905
688	16	4	9	-3921
689	16	4	9	-3937
690	16	4	9	-3953
691	16	4	9	-3969
692	16	4	9	-3985
693	16	4	9	-4001
694	16	4	9	-4017
695	16	4	9	-4033
